,lks
171,0.032981472477937736
172,0.036553423929338656
173,0.0385718469430382
174,0.03746320369342963
175,0.034504089737311006
176,0.03717307195377847
177,0.034568126779049635
178,0.03655265822696189
179,0.037423520193745695
180,0.0372618754239132
181,0.03487177825688074
182,0.036818634058969714
183,0.03491619656172892
184,0.03865936794318259
185,0.037524065701290965
186,0.03677498417285582
187,0.03540785044121245
188,0.037455182910586395
189,0.03503920789808035
190,0.03819188312627375
191,0.03825449695189794
192,0.03520315660474201
193,0.03512477750579516
194,0.03829366775850455
195,0.03477830959794422
196,0.03834679629653692
197,0.03775688027963042
198,0.03646498608092467
199,0.035494838297987975
200,0.035252934865032635
201,0.03279126311341921
202,0.03360406340410312
203,0.034179369220510125
204,0.03281974055183431
205,0.03301849798299372
206,0.034324446227401495
207,0.03194975589091579
208,0.03346170772177478
209,0.03366755826088289
210,0.03327997556577126
211,0.033715959560746946
212,0.03347851630921165
213,0.032513398521890245
214,0.033113464868317045
215,0.037248445907607675
216,0.03428838378749788
217,0.03354383477320274
218,0.033993716429298125
219,0.034194990526884794
220,0.03419798628116647
221,0.0344024965694795
222,0.03424278778644899
223,0.0346331139250348
224,0.03445513282592098
225,0.03594473213888705
226,0.035720642345647015
227,0.04315497656352818
228,0.03677966996716956
229,0.041978213392818965
230,0.04395270704602202
231,0.04116855196965238
232,0.03987767679306368
233,0.04062385818300148
234,0.03969782396840552
235,0.0393462503173699
236,0.03460839584780236
237,0.032166251835102834
238,0.03059865316996972
239,0.030411908713479836
240,0.030204763791213434
241,0.029824478629355628
242,0.03015791190167268
243,0.028950323117896914
244,0.03170138380179802
245,0.03145315583484868
246,0.03157096457046767
247,0.03304669423960149
248,0.03456403827294707
249,0.03404892208830764
250,0.04162709896142284
251,0.04267099437614282
252,0.041381474351510406
253,0.04166456606859962
254,0.03978934643479685
255,0.04164057380209366
256,0.04137689511602124
257,0.041500449258213244
258,0.044987208559177816
259,0.048742715696183346
260,0.0447126846605291
261,0.04468602993680785
262,0.04202391808697333
263,0.03933525186342498
264,0.037770399202903114
265,0.03745224066854765
266,0.038220314270195864
267,0.03762380934009949
268,0.03877542645204812
269,0.03745401724396894
270,0.03883506959148993
271,0.04120192812600484
272,0.04226165645134946
273,0.04146948976752659
274,0.03674964443780482
275,0.0385377435789754
276,0.03927513894935449
277,0.034350069162125386
278,0.03285403204305718
279,0.03367232050125798
280,0.03406095023577412
281,0.033552684200306736
282,0.03529005815895895
283,0.03313262341544032
284,0.027988491114228964
285,0.026208360989888508
286,0.038472073152661324
287,0.04509668300549189
288,0.04324019327759743
289,0.038988238821427025
290,0.030634305750330288
291,0.02680630361040433
292,0.02144106725851695
293,0.023771014297381043
294,0.033741334065174065
295,0.03466668693969647
296,0.030644488676140707
297,0.027566723059862852
298,0.02536881777147452
299,0.018462449312210083
300,0.01981413799027602
301,0.022207837086170912
302,0.014398372421662012
303,0.0123547053275009
304,0.012797175285716852
305,0.016300272351751726
306,0.011837644424910346
307,0.012215257622301579
308,0.012465522469331821
309,0.0126156120095402
310,0.013286967063322663
311,0.01398678512002031
312,0.012576889169091979
313,0.01798439274231593
314,0.01563505409285426
315,0.018776757797847193
316,0.01925559590260188
317,0.029125209897756577
318,0.03736335892851154
319,0.06358097897221644
320,0.03128239077826341
321,0.01907842264821132
322,0.019872800602267187
323,0.18618281744420528
324,0.0564177039389809
325,0.21269951248541474
326,0.04863214368621508
327,0.04704256604115168
328,0.05132327686684827
329,0.09389955208947261
330,0.024213113666822512
331,0.023130209495623905
332,0.0435588713735342
333,0.03597244247794151
334,0.023453053397436936
335,0.04207310390969118
336,0.04098599776625633
337,0.06683305309464534
338,0.028505917948981125
339,0.04682165260116259
340,0.06174541016419729
341,0.10677216450373332
342,0.044003372391064964
343,0.043174440041184425
344,0.05125271528959274
345,0.05199912811319033
346,0.04118105272452036
347,0.04214743711054325
348,0.03827777194480101
349,0.036837429429093994
350,0.04677920291821162
351,0.0491593008240064
352,0.05104295164346695
353,0.04980488742391268
354,0.05052802711725235
355,0.05041936288277308
356,0.05242950220902761
357,0.05075779060522715
358,0.05094031741221746
359,0.051610233883062996
360,0.055154150972763695
361,0.05445018162329992
362,0.048317454755306244
363,0.04771927868326505
364,0.048821999380985893
365,0.0450205405553182
366,0.04493499671419462
367,0.04707447811961174
368,0.04483095929026604
369,0.04913228626052538
370,0.0486161063114802
371,0.04936200504501661
372,0.04830794036388397
373,0.05072219669818878
374,0.05082098518808683
375,0.05061574031909307
376,0.05167865753173828
377,0.04884504278500875
378,0.0482762927810351
379,0.05441773931185404
380,0.0480873150130113
381,0.04674386481444041
382,0.046333263317743935
383,0.04353848720590273
384,0.04364870488643646
385,0.04393482829133669
386,0.04821842163801193
387,0.04855978488922119
388,0.04785544921954473
389,0.04738110676407814
390,0.04884270330270132
391,0.04867241159081459
392,0.046135095258553825
393,0.045893799513578415
394,0.04634296769897143
395,0.04775738716125488
396,0.047452700634797416
397,0.048718261222044625
398,0.04743450880050659
399,0.047524175296227135
400,0.04802922780315081
401,0.047965653240680695
402,0.046593127151330314
403,0.04614362120628357
404,0.0478806234896183
405,0.046628501266241074
406,0.04640681048234304
407,0.04751178373893102
408,0.04770030205448469
409,0.045951047291358314
410,0.04642330358425776
411,0.045826274901628494
412,0.043848288555939995
413,0.043752347429593406
414,0.0427583617468675
415,0.04328883315126101
416,0.04339900612831116
417,0.043451892832914986
